department,station,safety_center,address,jurisdiction
경기소방재난본부,구리소방서,119구조대,경기도 구리시 수택동 334-9(수택천로16번길 88),
경기소방재난본부,구리소방서,갈매119안전센터,경기도 구리시 산마루로68,"구리시 갈매동, 구리시 사노동"
경기소방재난본부,구리소방서,교문119안전센터,경기도 구리시 아차산로487번길 46,"구리시 교문동, 구리시 수택1동, 구리시 수택2동, 구리시 수택3동, 구리시 아천동"
경기소방재난본부,구리소방서,인창119안전센터,경기도 구리시 건원대로34번길 28,구리시 인창동
경기소방재난본부,군포소방서,119구조대,경기도 군포시 고산로 429,
경기소방재난본부,군포소방서,산본119안전센터,경기도 군포시 산본로432번길 1,"군포시 산본1동, 군포시 산본2동, 군포시 금정동, 군포시 궁내동, 군포시 광장동"
경기소방재난본부,군포소방서,송정119안전센터,경기도 군포시 송부로74번길 4 (도마교동),"군포시 둔대동, 군포시 속달동, 군포시 도마교동, 군포시 대야미동, 군포시 부곡동"
경기소방재난본부,군포소방서,오금119안전센터,경기도 군포시 고산로 429,"군포시 오금동, 군포시 당정동, 군포시 당동, 군포시 수리동"
경기소방재난본부,김포소방서,119구조대,경기도 김포시 감암로 111,
경기소방재난본부,김포소방서,고촌119안전센터,경기도 김포시 고촌읍 은행영사정로 31,"김포시 고촌읍 신곡리, 김포시 고촌읍 전호리, 김포시 고촌읍 태리, 김포시 고촌읍 풍곡리, 김포시 고촌읍 향산리"
경기소방재난본부,김포소방서,대곶119안전센터,경기도 김포시 대곶면 수남로 104,김포시 대곶면
경기소방재난본부,김포소방서,마산119안전센터,경기도 김포시 김포한강8로 196,"김포시 마산동, 김포시 구래동, 김포시 장기본동, 김포시 장기동"
경기소방재난본부,김포소방서,양촌119안전센터,경기도 김포시 양곡1로 85,김포시 양촌읍
경기소방재난본부,김포소방서,중앙119안전센터,경기도 김포시 감암로 111,"김포시 김포본동, 김포시 사우동, 김포시 운양동, 김포시 풍무동"
경기소방재난본부,김포소방서,통진119안전센터,경기도 김포시 통진읍 김포대로 2250,김포시 통진읍
경기소방재난본부,김포소방서,하성119안전센터,경기도 김포시 하성면 하성로 404,김포시 하성면
경기소방재난본부,남양주소방서,119구조대,경기도 남양주시 평내로 25(경기도 남양주시 평내동 570),
경기소방재난본부,남양주소방서,가운119안전센터,경기도 남양주시 가운로 16 (다산동),"남양주시 다산2동, 남양주시 수석동, 남양주시 지금동, 남양주시 도농동, 남양주시 다산동"
경기소방재난본부,남양주소방서,다산119안전센터,경기도 남양주시 다산중앙로146번길 76(경기도 남양주시 다산동 6044),남양주시 다산1동
경기소방재난본부,남양주소방서,별내119안전센터,경기도 남양주시 별내면 송산로 793-41,"남양주시 별내동, 남양주시 별내면, 남양주시 퇴계원읍"
경기소방재난본부,남양주소방서,수동119지역대,경기도 남양주시 수동면 비룡로 816(경기도 남양주시 수동면 입석리 464-2),남양주시 수동면
경기소방재난본부,남양주소방서,오남119안전센터,경기도 남양주시 오남읍 진건오남로 772,남양주시 오남읍
경기소방재난본부,남양주소방서,와부119안전센터,경기도 남양주시 와부읍 덕소로97번길 34-2,남양주시 와부읍
경기소방재난본부,남양주소방서,진건119안전센터,경기도 남양주시 진건읍 진건오남로 112-21,남양주시 진건읍
경기소방재난본부,남양주소방서,진접119안전센터,경기도 남양주시 진접읍 금강로 1509-25,남양주시 진접읍
경기소방재난본부,남양주소방서,평내119안전센터,경기도 남양주시 평내동 평내로 25,"남양주시 평내동, 남양주시 호평동, 남양주시 금곡동, 남양주시 양정동, 남양주시 일패동, 남양주시 이패동, 남양주시 삼패동"
경기소방재난본부,남양주소방서,화도119안전센터,경기도 남양주시 화도읍 수레로1260번길 25,남양주시 화도읍
경기소방재난본부,동두천소방서,119구조대,경기 동두천시 지행로 6 동두천소방서,
경기소방재난본부,동두천소방서,광암119지역대,경기도 동두천시 삼육사로1269번길 9,동두천시
경기소방재난본부,동두천소방서,불현119안전센터,경기도 동두천시 지행로 6,"동두천시 생연동, 동두천시 중앙동, 동두천시 보산동, 동두천시 상패동, 동두천시 불현동"
경기소방재난본부,동두천소방서,소요119안전센터,경기도 동두천시 평화로2910번길 65,동두천시 소요동
경기소방재난본부,부천소방서,119구조대,경기도 부천시 원미구 신흥로 115,
경기소방재난본부,부천소방서,괴안119안전센터,경기도 부천시 부광로8번길 49,"부천시 분당구 소사동, 부천시 분당구 괴안동, 부천시 분당구 역곡동, 부천시 분당구 옥길동"
경기소방재난본부,부천소방서,범박119안전센터,경기도 부천시 범안로 127,"부천시 분당구 범박동, 부천시 분당구 계수동, 부천시 분당구 옥길동, 부천시 분당구 소사본동"
경기소방재난본부,부천소방서,상동119안전센터,경기도 부천시 장말로 113,"부천시 분당구 상1동, 부천시 분당구 상2동, 부천시 분당구 송내1동"
경기소방재난본부,부천소방서,서부119안전센터,경기도 부천시 계남로 169,"부천시 분당구 약대동, 부천시 분당구 중1동, 부천시 분당구 중3동"
경기소방재난본부,부천소방서,신상119안전센터,경기도 부천시 상동로117번길 36,"부천시 분당구 상3동, 부천시 분당구 중4동"
경기소방재난본부,부천소방서,여월119안전센터,경기도 부천시 여월로 62,"부천시 원종동, 부천시 오정동, 부천시 여월동, 부천시 작동"
경기소방재난본부,부천소방서,오정119안전센터,경기도 부천시 신흥로 499,"부천시 분당구 대장동, 부천시 분당구 오정동, 부천시 분당구 삼정동, 부천시 분당구 내동"
경기소방재난본부,부천소방서,원종119안전센터,경기도 부천시 원종로79번길 41,"부천시 고강동, 부천시 원종1동"
경기소방재난본부,부천소방서,중동119안전센터,경기도 부천시 부일로 346,"부천시 중동, 부천시 심곡본동, 부천시 송내2동"
경기소방재난본부,부천소방서,중앙119안전센터,경기도 부천시 신흥로 115,"부천시 원미동, 부천시 심곡동, 부천시 중2동, 부천시 춘의동, 부천시 도당동"
경기소방재난본부,분당소방서,119구조대,경기도 성남시 분당구 양현로 14,
경기소방재난본부,분당소방서,구미119안전센터,경기도 성남시 분당구 돌마로 138,"성남시 분당구 구미동, 성남시 분당구 금곡동, 성남시 분당구 동원동"
경기소방재난본부,분당소방서,서판교119안전센터,경기도 성남시 분당구 운중로 88,"성남시 분당구 운중동, 성남시 분당구 석운동, 성남시 분당구 대장동, 성남시 분당구 하산운동"
경기소방재난본부,분당소방서,서현119안전센터,경기도 성남시 분당구 양현로 14,"성남시 분당구 분당동, 성남시 분당구 서현1동, 성남시 분당구 서현2동, 성남시 분당구 수내1동, 성남시 분당구 수내2동, 성남시 분당구 이매1동, 성남시 분당구 율동"
경기소방재난본부,분당소방서,수내119안전센터,경기도 성남시 분당구 백현로 241,"성남시 분당구 수내3동, 성남시 분당구 정자동, 성남시 분당구 정자1동, 성남시 분당구 정자2동, 성남시 분당구 정자3동"
경기소방재난본부,분당소방서,야탑119안전센터,경기도 성남시 분당구 양현로 485,"성남시 분당구 야탑1동, 성남시 분당구 야탑2동, 성남시 분당구 야탑3동, 성남시 분당구 이매2동"
경기소방재난본부,성남소방서,119구조대,경기도 성남시 중원구 하대원동 2,
경기소방재난본부,성남소방서,고등119안전센터,경기도 성남시 수정구 대왕판교로 931,"성남시 수정구 신촌동, 성남시 수정구 오야동, 성남시 수정구 심곡동, 성남시 수정구 시흥동, 성남시 수정구 금토동, 성남시 수정구 사송동, 성남시 수정구 고등동, 성남시 수정구 상적동, 성남시 수정구 둔전동"
경기소방재난본부,성남소방서,단대119안전센터,경기도 성남시 수정구 논골로 11번길 7-2,"성남시 수정구 은행1동, 성남시 수정구 은행2동, 성남시 수정구 금광1동, 성남시 수정구 금광2동, 성남시 수정구 양지동, 성남시 수정구 단대동"
경기소방재난본부,성남소방서,상대원119안전센터,경기도 성남시 중원구 둔촌대로 469,"성남시 수정구 상대원동, 성남시 수정구 도촌동, 성남시 수정구 갈현동"
경기소방재난본부,성남소방서,신흥119안전센터,경기도 성남시 수정구 시민로 151,"성남시 수정구 신흥1동, 성남시 수정구 신흥2동, 성남시 수정구 신흥 3동, 성남시 수정구 중앙동"
경기소방재난본부,성남소방서,위례119안전센터,경기도 성남시 수정구 헌릉로 1003,"성남시 수정구 위례동, 성남시 수정구 창곡동, 성남시 수정구 복정동, 성남시 수정구 산성동"
경기소방재난본부,성남소방서,태평119안전센터,경기도 성남시 수정구 성남대로 1312,"성남시 수정구 태평1동 ,성남시 수정구 태평2동, 성남시 수정구 태평3동, 성남시 수정구 태평 4동"
경기소방재난본부,성남소방서,하대원119안전센터,경기도 성남시 중원구 마지로 64,"성남시 수정구 수진1동, 성남시 수정구 수진2동, 성남시 수정구 성남동, 성남시 수정구 하대원동, 성남시 수정구 여수동"
경기소방재난본부,송탄소방서,119구조대,경기도 평택시 경기대로 1627,
경기소방재난본부,송탄소방서,고덕119안전센터,경기도 평택시 고덕로 335 (고덕동),"평택시 고덕동, 평택시 고덕면 좌교리, 평택시 고덕면 당현리, 평택시 고덕면 두릉리, 평택시 고덕면 문곡리, 평택시 고덕면 동청리, 평택시 고덕면 해창리, 평택시 고덕면 궁리, 평택시 고덕면 동고리, 평택시 고덕면 방축리, 평택시 고덕면 여염리"
